"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.stop-djihadisme.gouv.fr/195.64.164.87","443","INFO","HTTP","",""
"pre_128cipher","www.stop-djihadisme.gouv.fr/195.64.164.87","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.stop-djihadisme.gouv.fr/195.64.164.87","443","OK","not offered","",""
"SSLv3","www.stop-djihadisme.gouv.fr/195.64.164.87","443","OK","not offered","",""
"TLS1","www.stop-djihadisme.gouv.fr/195.64.164.87","443","INFO","not offered","",""
"TLS1_1","www.stop-djihadisme.gouv.fr/195.64.164.87","443","INFO","not offered","",""
"TLS1_2","www.stop-djihadisme.gouv.fr/195.64.164.87","443","OK","offered","",""
"TLS1_3","www.stop-djihadisme.gouv.fr/195.64.164.87","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","www.stop-djihadisme.gouv.fr/195.64.164.87","443","INFO","not offered","",""
"cipherlist_NULL","www.stop-djihadisme.gouv.fr/195.64.164.87","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.stop-djihadisme.gouv.fr/195.64.164.87","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.stop-djihadisme.gouv.fr/195.64.164.87","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.stop-djihadisme.gouv.fr/195.64.164.87","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.stop-djihadisme.gouv.fr/195.64.164.87","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.stop-djihadisme.gouv.fr/195.64.164.87","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.stop-djihadisme.gouv.fr/195.64.164.87","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.stop-djihadisme.gouv.fr/195.64.164.87","443","OK","offered","",""
"cipher_order-tls1_2","www.stop-djihadisme.gouv.fr/195.64.164.87","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.stop-djihadisme.gouv.fr/195.64.164.87","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc028","www.stop-djihadisme.gouv.fr/195.64.164.87","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc02f","www.stop-djihadisme.gouv.fr/195.64.164.87","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc027","www.stop-djihadisme.gouv.fr/195.64.164.87","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"supportedciphers_TLSv1_2","www.stop-djihadisme.gouv.fr/195.64.164.87","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256","",""
"cipher_order","www.stop-djihadisme.gouv.fr/195.64.164.87","443","INFO","NOT a cipher order configured","",""
"FS","www.stop-djihadisme.gouv.fr/195.64.164.87","443","OK","offered","",""
