"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","HTTP","",""
"pre_128cipher","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","No 128 cipher limit bug","",""
"SSLv2","maisondelautisme.gouv.fr/94.23.123.122","443","OK","not offered","",""
"SSLv3","maisondelautisme.gouv.fr/94.23.123.122","443","OK","not offered","",""
"TLS1","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","not offered","",""
"TLS1_1","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","not offered","",""
"TLS1_2","maisondelautisme.gouv.fr/94.23.123.122","443","OK","offered","",""
"TLS1_3","maisondelautisme.gouv.fr/94.23.123.122","443","OK","offered with final","",""
"ALPN_HTTP2","maisondelautisme.gouv.fr/94.23.123.122","443","OK","h2","",""
"ALPN","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","http/1.1","",""
"cipherlist_NULL","maisondelautisme.gouv.fr/94.23.123.122","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","maisondelautisme.gouv.fr/94.23.123.122","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","maisondelautisme.gouv.fr/94.23.123.122","443","OK","not offered","","CWE-327"
"cipherlist_LOW","maisondelautisme.gouv.fr/94.23.123.122","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","not offered","",""
"cipherlist_STRONG_FS","maisondelautisme.gouv.fr/94.23.123.122","443","OK","offered","",""
"cipher_order-tls1_2","maisondelautisme.gouv.fr/94.23.123.122","443","OK","server","",""
"cipherorder_TLSv1_2","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","maisondelautisme.gouv.fr/94.23.123.122","443","OK","server","",""
"FS","maisondelautisme.gouv.fr/94.23.123.122","443","OK","offered","",""
"FS_ciphers","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","maisondelautisme.gouv.fr/94.23.123.122","443","OK","prime256v1","",""
"TLS_extensions","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","yes","",""
"sessionresumption_ticket","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","not supported","",""
"sessionresumption_ID","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","not supported","",""
"TLS_timestamp","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","random","",""
"certificate_compression","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","none","",""
"clientAuth","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","none","",""
"cert_numbers","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","1","",""
"cert_signatureAlgorithm","maisondelautisme.gouv.fr/94.23.123.122","443","OK","ECDSA with SHA384","",""
"cert_keySize","maisondelautisme.gouv.fr/94.23.123.122","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","Digital Signature","",""
"cert_extKeyUsage","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","03C42311866858A56DE4B3775590EAFBF4C7","",""
"cert_serialNumberLen","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","18","",""
"cert_fingerprintSHA1","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","369BEE0083BEC210060D034A291B93FFA90B5F01","",""
"cert_fingerprintSHA256","maisondelautisme.gouv.fr/94.23.123.122","443","INFO","1E52E06473A1DC56CB328A6244E6F512B9158AC4AF5A0C19646D331CB7446806","",""
