"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","meurthe-et-moselle.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","08475EA7F827D41E4D4576010C600B47","",""
"cert_serialNumberLen","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","D46F13BB8A6D85230022E8257E579723B0E54758","",""
"cert_fingerprintSHA256","meurthe-et-moselle.gouv.fr/77.159.252.140","443","INFO","B7B8989D203E9E9E621F855AE5849CB84EEB1521F68B7BDD6D1301AFD693AFFE","",""
