"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","moselle.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","moselle.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","moselle.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","moselle.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","moselle.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","moselle.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","moselle.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","moselle.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","moselle.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","moselle.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","moselle.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","moselle.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","moselle.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","moselle.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","moselle.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","moselle.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","moselle.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","moselle.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","moselle.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","moselle.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","moselle.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","moselle.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","moselle.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","moselle.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","moselle.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","moselle.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","moselle.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","moselle.gouv.fr/77.159.252.140","443","INFO","supported","",""
"TLS_timestamp","moselle.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","moselle.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","moselle.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","moselle.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","moselle.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","moselle.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","moselle.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","moselle.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","moselle.gouv.fr/77.159.252.140","443","INFO","17057660F84FD6600A1839E1E9C832E8","",""
"cert_serialNumberLen","moselle.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","moselle.gouv.fr/77.159.252.140","443","INFO","3D56DF7343C8E83BDC260C6AF987930BD850B253","",""
