"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","nievre.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","nievre.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","nievre.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","nievre.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","nievre.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","nievre.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","nievre.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","nievre.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","nievre.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","nievre.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","nievre.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","nievre.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","nievre.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","nievre.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","nievre.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","nievre.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","nievre.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","nievre.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","nievre.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","nievre.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","nievre.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","nievre.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","nievre.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","nievre.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","nievre.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","nievre.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","nievre.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","nievre.gouv.fr/77.159.252.140","443","INFO","supported","",""
"TLS_timestamp","nievre.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","nievre.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","nievre.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","nievre.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","nievre.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","nievre.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","nievre.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","nievre.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","nievre.gouv.fr/77.159.252.140","443","INFO","2DB4B3E4042FCE70BD2569637B43A4CD","",""
"cert_serialNumberLen","nievre.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","nievre.gouv.fr/77.159.252.140","443","INFO","5B1C1F241E1D91282EECA9A22641A1232E586F5D","",""
"cert_fingerprintSHA256","nievre.gouv.fr/77.159.252.140","443","INFO","62DB8F6141758723FBF0A4B84FEE0BF55DA6BA749D4E707DFAE31FE5CB987DFD","",""
"cert","nievre.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIVjCCBj6gAwIBAgIQLbSz5AQvznC9JWlje0OkzTANBgkqhkiG9w0BAQsFADB9MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAyIDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEdMBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjQwMzEzMjMwMDAwWhcNMjUwMzEzMjI1OTU5WjByMQswCQYDVQQGEwJGUjEOMAwGA1UEBwwFUEFSSVMxITAfBgNVBAoMGE1JTklTVEVSRSBERSBMIElOVEVSSUVVUjEbMBkGA1UEAwwSd3d3Lm5pZXZyZS5nb3V2LmZyMRMwEQYDVQQFEwpTMzAzMjUwNzAzMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAz0lPSDojUk8tcf21b1dgv4izC1H6W9c89ogN6Ch6EMihh6ldvIiBax7n6UMAEHPpnjzfCUaWJ4NkLGOE6U7UeXlZGkHzD55D9hcq5wWOtlkwG5j8To05Ec+DcfzMWxtEY36B6+ci8dwdKCJN8BF+9cmuGEVuCI2U8tcjUEaGCBvwr7FF9JvQQH60iq8NSFKTzqx8w9lh93CNpCvgTEpE6O0cIrTzYaDSsGHIsM5VfW3XJBUJedC16wHIvULidUBqWVs/LMHT9om/XKIwtfdgRGptos4uI2yHyzh6VzmOlzQA+NETkr3moHm5tHJuR1BMaYSqNTD/15glOzuLn5eCewIDAQABo4ID2zCCA9cwgeQGCCsGAQUFBwEBBIHXMIHUMDgGCCsGAQUFBzAChixodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmRlcjA2BggrBgEFBQcwAoYqaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuZGVyMDAGCCsGAQUFBzABhiRodHRwOi8vc2VydmljZXNjYS5vY3NwLmRoaW15b3Rpcy5jb20wLgYIKwYBBQUHMAGGImh0dHA6Ly9zZXJ2aWNlc2NhLm9jc3AuY2VydGlnbmEuZnIwHwYDVR0jBBgwFoAUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwDAYDVR0TAQH/BAIwADBhBgNVHSAEWjBYMAgGBmeBDAECAjBMBgsqgXoBgTECBQEBATA9MDsGCCsGAQUFBwIBFi9odHRwczovL3d3dy5jZXJ0aWduYS5jb20vYXV0b3JpdGUtY2VydGlmaWNhdGlvbjBlBgNVHR8EXjBcMCugKaAnhiVodHRwOi8vY3JsLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuY3JsMC2gK6AphidodHRwOi8vY3JsLmRoaW15b3Rpcy5jb20vc2VydmljZXNjYS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMC0GA1UdEQQmMCSCEnd3dy5uaWV2cmUuZ291di5mcoIObmlldnJlLmdvdXYuZnIwHQYDVR0OBBYEFPVdY+U808n3ABF7Po/kDlIi19JrMIIBgAYKKwYBBAHWeQIEAgSCAXAEggFsAWoAdgBOdaMnXJoQwzhbbNTfP1LrHfDgjhuNacCx+mSxYpo53wAAAY47qrgzAAAEAwBHMEUCIGwlV32YlxblRPfUT7qw/K0C1McjjngIhsOHE+j0+xkfAiEA1bN601FH8a12MzKVPiAg7uLjMbrbaDLSiIF3CF/HsB4AdwDPEVbu1S58r/OHW9lpLpvpGnFnSrAX7KwB0lt3zsw7CAAAAY47qrjrAAAEAwBIMEYCIQDvJ3HrBw/t7WJy/1qPsZ/msGW6J2Oi7hG41EHtyM8ZvQIhAKGQ3UeLHPdIwb5YjVdZCgRqst/MnRd/tV68YaARp8ncAHcAzPsPaoVxCWX+lZtTzumyfCLphVwNl422qX5UwP5MDbAAAAGOO6q97AAABAMASDBGAiEAw8dlvgwBHvkWh8HBcvHqu3sp2GRgIDByTK+GCNO8V58CIQCAo2LpZ4lOcRbv7U7XIIjYJTp+X/8Eqp2hIKYxqKRSUDANBgkqhkiG9w0BAQsFAAOCAgEAPtaWdsIyOBdx6muWWg6ZKhq1zA1pdfFAHyYjw5MT071HMYMe+YayfZN4P2y5BVAge/gUHwSfzCZaVzVNjI2koWdZKSLkkpNXaLagUve6aoDLLmqFFRbLBAY53DRyNKXtGnv/dY1bGAValFxqlK/JptmRhycOodv62iRVlLuEtxhrLt36UoEi22ZP5R8VvGJgVDf12K7OWs9CHS6CR+w3Erx1YZPr4J1BiFuXIuOlV/pq5FAox7UJ6tkVDcg5lZ4Ca+iu4Q4OHbEXBLzm9Pj93L2eo94dY0i4yt4BKkChJBmMVxPWlza2ObERMSXe7DdewCShSNfyf7VBqtN3GwFnZbmoR98ZZHfuC/3g0TXTKzp6MzlK+bLV+EhcUh8XNQdBleEZGxqYRQYd3ImpKA6/k/auI+Nj9YhfTfCTsNYoYgJdaFJ5CGxATTIptWhbkoZCM0hN8lb2PqHMd5Ww9F48vvDxkJKD3Wwyr3DPtA3jBbHxmwle+qh/ZiLDtjSmzx0OuwNLiAvemrcCA9rLxCN2mnZ2LNSTPB5YuKMqMNQU6lvHu9eOY3dknDYfMNq/TF+fVPQhsMhj7BMjUzZcUPVL6EOobTiqsrC6ezmyhGNGvup3xxKph5vFpIlnMeeFaCf+Un/NVf67wGQo81m95pKHFF6omfmP4zEZK7t+0TYJu+s=\n-----END CERTIFICATE-----","",""
"cert_commonName","nievre.gouv.fr/77.159.252.140","443","OK","www.nievre.gouv.fr","",""
"cert_commonName_wo_SNI","nievre.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","nievre.gouv.fr/77.159.252.140","443","INFO","www.nievre.gouv.fr nievre.gouv.fr","",""
"cert_trust","nievre.gouv.fr/77.159.252.140","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","nievre.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","nievre.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","nievre.gouv.fr/77.159.252.140","443","OK","180 >= 60 days","",""
"cert_notBefore","nievre.gouv.fr/77.159.252.140","443","INFO","2024-03-13 23:00","",""
"cert_notAfter","nievre.gouv.fr/77.159.252.140","443","OK","2025-03-13 22:59","",""
"cert_extlifeSpan","nievre.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","nievre.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","nievre.gouv.fr/77.159.252.140","443","INFO","http://crl.certigna.fr/servicesca.crl http://crl.dhimyotis.com/servicesca.crl","",""
"cert_ocspURL","nievre.gouv.fr/77.159.252.140","443","INFO","http://servicesca.ocsp.dhimyotis.com http://servicesca.ocsp.certigna.fr","",""
"OCSP_stapling","nievre.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"cert_mustStapleExtension","nievre.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","nievre.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","nievre.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
"certs_countServer","nievre.gouv.fr/77.159.252.140","443","INFO","2","",""
"certs_list_ordering_problem","nievre.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_caIssuers","nievre.gouv.fr/77.159.252.140","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
