"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","onisep-preprod.fr/213.91.3.180","443","INFO","HTTP","",""
"pre_128cipher","onisep-preprod.fr/213.91.3.180","443","INFO","No 128 cipher limit bug","",""
"SSLv2","onisep-preprod.fr/213.91.3.180","443","OK","not offered","",""
"SSLv3","onisep-preprod.fr/213.91.3.180","443","OK","not offered","",""
"TLS1","onisep-preprod.fr/213.91.3.180","443","INFO","not offered","",""
"TLS1_1","onisep-preprod.fr/213.91.3.180","443","INFO","not offered","",""
"TLS1_2","onisep-preprod.fr/213.91.3.180","443","OK","offered","",""
"TLS1_3","onisep-preprod.fr/213.91.3.180","443","OK","offered with final","",""
"ALPN_HTTP2","onisep-preprod.fr/213.91.3.180","443","OK","h2","",""
"ALPN","onisep-preprod.fr/213.91.3.180","443","INFO","http/1.1","",""
"cipherlist_NULL","onisep-preprod.fr/213.91.3.180","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","onisep-preprod.fr/213.91.3.180","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","onisep-preprod.fr/213.91.3.180","443","OK","not offered","","CWE-327"
"cipherlist_LOW","onisep-preprod.fr/213.91.3.180","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","onisep-preprod.fr/213.91.3.180","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","onisep-preprod.fr/213.91.3.180","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","onisep-preprod.fr/213.91.3.180","443","INFO","not offered","",""
"cipherlist_STRONG_FS","onisep-preprod.fr/213.91.3.180","443","OK","offered","",""
"cipher_order-tls1_2","onisep-preprod.fr/213.91.3.180","443","OK","server","",""
"cipherorder_TLSv1_2","onisep-preprod.fr/213.91.3.180","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","onisep-preprod.fr/213.91.3.180","443","OK","server","",""
"FS","onisep-preprod.fr/213.91.3.180","443","OK","offered","",""
"FS_ciphers","onisep-preprod.fr/213.91.3.180","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","onisep-preprod.fr/213.91.3.180","443","OK","prime256v1","",""
"TLS_extensions","onisep-preprod.fr/213.91.3.180","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","onisep-preprod.fr/213.91.3.180","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","onisep-preprod.fr/213.91.3.180","443","INFO","yes","",""
"sessionresumption_ticket","onisep-preprod.fr/213.91.3.180","443","INFO","supported","",""
"sessionresumption_ID","onisep-preprod.fr/213.91.3.180","443","INFO","supported","",""
"TLS_timestamp","onisep-preprod.fr/213.91.3.180","443","INFO","random","",""
"certificate_compression","onisep-preprod.fr/213.91.3.180","443","INFO","none","",""
"clientAuth","onisep-preprod.fr/213.91.3.180","443","INFO","none","",""
"cert_numbers","onisep-preprod.fr/213.91.3.180","443","INFO","1","",""
