"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","INFO","HTTP","",""
"pre_128cipher","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","OK","not offered","",""
"SSLv3","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","OK","not offered","",""
"TLS1","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","INFO","not offered","",""
"TLS1_1","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","INFO","not offered","",""
"TLS1_2","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","OK","offered","",""
"TLS1_3","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","INFO","not offered","",""
"cipherlist_NULL","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","OK","offered","",""
"cipher_order-tls1_2","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","OK","server","",""
"cipherorder_TLSv1_2","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","OK","server","",""
"FS","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","OK","offered","",""
"FS_ciphers","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","pour-les-personnes-agees.gouv.fr/160.92.65.170","443","OK","prime256v1","",""
