"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","plus.transformation.gouv.fr/141.101.90.98","443","INFO","HTTP","",""
"pre_128cipher","plus.transformation.gouv.fr/141.101.90.98","443","INFO","No 128 cipher limit bug","",""
"SSLv2","plus.transformation.gouv.fr/141.101.90.98","443","OK","not offered","",""
"SSLv3","plus.transformation.gouv.fr/141.101.90.98","443","OK","not offered","",""
"TLS1","plus.transformation.gouv.fr/141.101.90.98","443","INFO","not offered","",""
"TLS1_1","plus.transformation.gouv.fr/141.101.90.98","443","INFO","not offered","",""
"TLS1_2","plus.transformation.gouv.fr/141.101.90.98","443","OK","offered","",""
"TLS1_3","plus.transformation.gouv.fr/141.101.90.98","443","OK","offered with final","",""
"ALPN_HTTP2","plus.transformation.gouv.fr/141.101.90.98","443","OK","h2","",""
"ALPN","plus.transformation.gouv.fr/141.101.90.98","443","INFO","http/1.1","",""
"cipherlist_NULL","plus.transformation.gouv.fr/141.101.90.98","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","plus.transformation.gouv.fr/141.101.90.98","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","plus.transformation.gouv.fr/141.101.90.98","443","OK","not offered","","CWE-327"
"cipherlist_LOW","plus.transformation.gouv.fr/141.101.90.98","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","plus.transformation.gouv.fr/141.101.90.98","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","plus.transformation.gouv.fr/141.101.90.98","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","plus.transformation.gouv.fr/141.101.90.98","443","OK","offered","",""
"cipherlist_STRONG_FS","plus.transformation.gouv.fr/141.101.90.98","443","OK","offered","",""
"cipher_order-tls1_2","plus.transformation.gouv.fr/141.101.90.98","443","OK","server","",""
"cipherorder_TLSv1_2","plus.transformation.gouv.fr/141.101.90.98","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","plus.transformation.gouv.fr/141.101.90.98","443","OK","server -- TLS 1.3 client determined","",""
"FS","plus.transformation.gouv.fr/141.101.90.98","443","OK","offered","",""
"FS_ciphers","plus.transformation.gouv.fr/141.101.90.98","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CHACHA20-POLY1305-OLD","",""
"FS_ECDHE_curves","plus.transformation.gouv.fr/141.101.90.98","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","plus.transformation.gouv.fr/141.101.90.98","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","plus.transformation.gouv.fr/141.101.90.98","443","INFO","valid for 64800 seconds only (<daily)","",""
