"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","seine-maritime.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","seine-maritime.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","seine-maritime.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","seine-maritime.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","seine-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","seine-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","seine-maritime.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","seine-maritime.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","seine-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","seine-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","seine-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","seine-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","seine-maritime.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","seine-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","seine-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","seine-maritime.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","seine-maritime.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","seine-maritime.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","seine-maritime.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","seine-maritime.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","seine-maritime.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","seine-maritime.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","seine-maritime.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","seine-maritime.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","seine-maritime.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","seine-maritime.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","seine-maritime.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","seine-maritime.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","seine-maritime.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","seine-maritime.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","seine-maritime.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","seine-maritime.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","seine-maritime.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","seine-maritime.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","seine-maritime.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","seine-maritime.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","seine-maritime.gouv.fr/77.159.252.140","443","INFO","7EB4798402EDE661787A7872D9E4A318","",""
"cert_serialNumberLen","seine-maritime.gouv.fr/77.159.252.140","443","INFO","16","",""
